EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,JobSatisfaction,PerformanceRating,OverTime,Attrition,TrainingTimesLastYear,WorkLifeBalance
1046,38,Male,Marketing,Coordinator,240190,19,2,4,No,No,0,2
1047,57,Male,Finance,Analyst,115490,15,4,3,Yes,No,4,1
1048,25,Male,Finance,Manager,69265,4,3,1,Yes,No,8,4
1049,23,Female,Operations,Specialist,76313,23,5,2,No,No,1,2
1050,27,Female,Operations,Analyst,74350,6,5,3,Yes,No,0,3
1051,25,Female,Finance,Manager,176450,24,3,4,No,No,7,4
1052,50,Female,IT,Specialist,139168,15,4,1,No,No,5,2
1053,39,Female,Operations,Manager,230887,14,1,4,No,Yes,1,4
1054,47,Female,HR,Specialist,57924,4,1,5,No,No,2,3
1055,55,Male,Marketing,Specialist,112593,0,5,5,Yes,No,4,3
1056,31,Male,Marketing,Specialist,147490,19,3,2,No,No,0,2
1057,57,Female,HR,Manager,37312,21,3,2,No,No,1,2
1058,35,Male,HR,Specialist,60353,21,2,1,No,No,0,3
1059,52,Female,HR,Analyst,143744,8,5,5,Yes,No,6,1
1060,36,Male,HR,Coordinator,247522,20,3,3,No,No,6,4
1061,29,Female,Sales,Coordinator,46192,4,2,5,No,No,9,1
1062,35,Male,Marketing,Specialist,178522,21,1,2,Yes,No,4,2
1063,44,Male,Sales,Coordinator,166504,5,5,4,No,Yes,9,1
1064,42,Female,Finance,Coordinator,218297,2,5,1,No,No,5,1
1065,37,Female,Finance,Specialist,126548,5,3,5,No,No,2,4
1066,39,Male,Marketing,Specialist,128991,7,3,3,No,No,1,2
1067,45,Male,Finance,Analyst,108711,5,4,3,No,No,9,4
1068,47,Female,HR,Executive,226676,15,1,3,No,No,8,3
1069,46,Male,Sales,Manager,171367,15,1,1,No,Yes,1,4
1070,50,Female,HR,Specialist,36774,20,2,3,Yes,No,0,4
1071,36,Female,Finance,Specialist,145107,2,2,3,No,No,8,3
1072,22,Male,Operations,Coordinator,173262,16,4,5,No,No,7,1
1073,46,Female,Sales,Analyst,192358,20,1,1,No,No,7,4
1074,28,Male,HR,Coordinator,237397,5,2,4,No,Yes,6,3
1075,30,Male,Marketing,Specialist,102427,5,1,4,Yes,Yes,8,2
1076,45,Female,HR,Specialist,117513,21,1,3,No,No,2,1
1077,22,Male,Operations,Coordinator,94014,18,2,2,No,No,7,3
1078,29,Female,Finance,Specialist,236924,19,3,1,No,No,0,1
1079,45,Female,Sales,Executive,85256,14,3,2,Yes,No,0,3
1080,32,Female,Marketing,Manager,128743,18,2,1,No,No,5,4
1081,38,Male,Sales,Manager,219702,1,4,1,Yes,No,7,1
1082,29,Female,Marketing,Manager,121190,7,5,5,No,No,7,4
1083,56,Male,Sales,Executive,223843,6,1,3,No,No,9,3
1084,56,Female,Finance,Specialist,81715,7,5,5,No,No,0,4
1085,54,Female,Marketing,Coordinator,37466,12,2,2,Yes,Yes,0,4
1086,26,Female,IT,Analyst,47637,21,1,2,Yes,No,8,3
1087,49,Male,Sales,Specialist,160424,14,5,4,No,Yes,8,4
1088,28,Male,Sales,Executive,98745,11,3,5,No,No,6,4
1089,30,Female,HR,Executive,66317,14,4,5,No,No,0,4
1090,29,Female,Marketing,Manager,210838,13,5,5,No,No,9,2
1091,33,Male,Operations,Specialist,164150,6,4,4,No,Yes,1,2
1092,55,Male,IT,Manager,188371,16,3,5,Yes,No,7,2
1093,54,Male,Finance,Analyst,33543,4,5,5,No,No,7,1
1094,44,Female,HR,Manager,152790,19,2,5,No,Yes,4,4
1095,45,Male,IT,Analyst,81052,9,1,5,No,No,1,4
1096,58,Female,Marketing,Executive,52064,18,3,2,No,No,2,4
1097,56,Male,IT,Manager,102287,17,4,3,No,No,4,1
1098,43,Female,Sales,Manager,110442,24,4,2,Yes,Yes,2,1
1099,48,Female,Sales,Coordinator,150550,23,3,5,No,No,9,3
1100,56,Female,HR,Executive,244704,9,2,1,Yes,No,0,4
1101,22,Male,Marketing,Coordinator,44425,1,2,1,No,No,5,3
1102,56,Male,Marketing,Analyst,81481,5,4,4,No,No,4,3
1103,58,Male,IT,Analyst,107347,2,3,2,No,No,2,1
1104,35,Female,HR,Executive,244186,18,3,4,No,No,8,2
1105,24,Female,Marketing,Analyst,102317,4,1,4,Yes,Yes,9,1
1106,22,Male,Operations,Executive,247898,6,4,1,No,No,7,1
1107,26,Female,Operations,Analyst,80530,6,2,2,Yes,No,6,2
1108,47,Female,Sales,Specialist,111099,9,5,3,Yes,Yes,1,2
1109,35,Female,IT,Manager,55888,0,2,2,Yes,No,9,1
1110,48,Male,Finance,Specialist,188563,10,2,4,Yes,No,4,4
1111,30,Female,Sales,Executive,193424,22,5,5,No,Yes,4,3
1112,36,Male,HR,Executive,182748,6,4,4,No,No,5,4
1113,36,Male,Marketing,Specialist,95836,5,1,2,No,No,5,3
1114,47,Male,Sales,Manager,198535,5,2,1,No,No,2,4
1115,34,Male,Finance,Manager,140478,12,2,2,Yes,No,3,2
1116,53,Male,Finance,Coordinator,78990,15,4,3,Yes,No,0,4
1117,53,Female,Operations,Analyst,116544,12,4,5,No,Yes,0,1
1118,25,Male,HR,Coordinator,93627,1,3,5,No,Yes,4,3
1119,51,Male,Sales,Manager,181293,18,4,4,No,No,3,3
1120,58,Male,IT,Specialist,158345,18,4,2,Yes,No,6,4
1121,44,Female,Sales,Analyst,246909,18,2,1,No,Yes,6,2
1122,36,Female,Operations,Specialist,102843,17,1,3,Yes,No,3,1
1123,50,Female,Finance,Coordinator,212385,24,2,4,Yes,No,9,2
1124,57,Female,HR,Executive,59251,5,4,2,Yes,No,1,1
1125,34,Male,HR,Specialist,207658,1,3,1,No,No,9,1
1126,53,Male,IT,Coordinator,104418,18,1,2,No,No,3,1
1127,28,Female,HR,Coordinator,214956,5,3,1,No,No,7,4
1128,43,Female,Operations,Coordinator,82620,19,5,2,No,No,1,1
1129,49,Female,Operations,Executive,40040,22,3,2,No,No,4,1
1130,23,Female,Operations,Executive,232749,21,3,4,No,No,6,1
1131,27,Male,HR,Executive,206950,14,4,2,No,No,9,3
1132,49,Female,HR,Analyst,167041,5,4,2,No,No,5,3
1133,49,Female,Operations,Executive,43162,2,4,4,No,No,8,4
1134,41,Female,HR,Executive,95435,10,4,4,No,Yes,1,4
1135,51,Female,HR,Executive,148504,7,4,5,No,No,3,3
1136,32,Female,Finance,Specialist,104667,24,3,5,No,No,6,3
1137,49,Female,Sales,Executive,158658,21,5,4,Yes,No,7,1
1138,46,Female,Marketing,Analyst,35037,17,4,3,No,No,4,3
1139,54,Male,HR,Coordinator,90526,16,5,1,Yes,No,4,4
1140,22,Male,Marketing,Specialist,117914,18,5,4,No,Yes,3,4
1141,48,Male,Marketing,Manager,175765,18,2,5,Yes,No,8,1
1142,34,Male,Finance,Executive,122162,23,2,2,Yes,No,9,2
1143,24,Male,HR,Coordinator,89090,20,1,4,Yes,No,3,2
1144,27,Male,Operations,Coordinator,163523,16,2,4,No,No,2,3
1145,29,Female,Marketing,Specialist,95560,3,4,5,Yes,No,8,1
1146,48,Female,HR,Manager,167034,6,5,5,Yes,No,6,3
1147,30,Male,IT,Analyst,119552,4,1,3,Yes,No,8,1
1148,58,Female,Operations,Coordinator,46444,15,2,5,No,No,3,3
1149,54,Male,IT,Coordinator,70443,5,3,5,No,No,2,4
1150,45,Female,IT,Coordinator,177578,13,1,5,Yes,Yes,9,4
1151,36,Female,Marketing,Coordinator,199456,19,4,2,Yes,No,7,2
1152,53,Female,IT,Specialist,127229,1,5,4,No,No,3,2
1153,53,Female,Finance,Manager,142314,24,4,4,No,No,9,3
1154,45,Female,Finance,Coordinator,54248,17,4,5,Yes,No,2,4
1155,33,Female,Marketing,Analyst,207234,17,3,3,No,No,3,3
1156,23,Male,HR,Analyst,203762,12,3,5,No,No,1,4
1157,24,Male,Sales,Executive,157521,17,5,3,No,No,3,1
1158,58,Female,HR,Coordinator,230697,16,2,4,No,Yes,6,4
1159,38,Male,HR,Coordinator,98008,12,4,3,Yes,No,2,2
1160,23,Female,HR,Coordinator,90309,11,2,3,Yes,No,0,4
1161,23,Male,HR,Coordinator,73237,2,5,1,No,No,9,3
1162,49,Female,Operations,Coordinator,156967,21,4,3,No,No,7,1
1163,44,Male,Sales,Analyst,196804,6,2,3,Yes,No,5,2
1164,58,Female,Operations,Manager,38104,0,4,2,No,No,2,1
1165,53,Male,IT,Manager,113230,4,3,4,No,Yes,7,2
1166,54,Female,HR,Executive,120266,20,3,5,Yes,Yes,5,2
1167,22,Male,Finance,Analyst,64980,0,1,1,No,No,0,1
1168,40,Female,Marketing,Coordinator,104990,3,5,3,Yes,No,8,1
1169,23,Female,Marketing,Manager,200632,0,2,2,Yes,No,8,4
1170,47,Female,Operations,Specialist,39554,12,4,2,Yes,No,8,4
1171,53,Male,Operations,Specialist,121049,13,1,5,No,No,5,2
1172,27,Male,Finance,Specialist,207059,14,5,5,No,No,5,4
1173,53,Male,HR,Coordinator,192057,16,5,4,No,No,3,4
1174,25,Female,Sales,Coordinator,78167,11,5,3,No,No,7,2
1175,32,Male,IT,Executive,201500,6,2,2,No,No,8,4
1176,38,Female,Marketing,Executive,97238,22,3,1,No,No,6,1
1177,59,Male,IT,Executive,223795,18,1,4,No,No,6,3
1178,45,Male,Sales,Specialist,47038,22,2,3,No,No,1,1
1179,26,Male,Operations,Coordinator,183291,2,4,5,No,No,1,3
1180,55,Male,Marketing,Specialist,165343,17,2,3,No,No,9,1
1181,27,Female,IT,Executive,57397,3,4,5,No,No,1,3
1182,43,Male,Operations,Coordinator,104491,2,4,3,Yes,No,3,3
1183,32,Male,Sales,Analyst,59602,11,5,1,Yes,No,8,4
1184,37,Female,IT,Manager,84471,22,2,4,No,No,4,2
1185,54,Female,HR,Manager,223222,11,3,5,No,No,1,1
1186,30,Male,Operations,Executive,205299,16,4,1,No,No,3,4
1187,27,Male,Sales,Specialist,127081,5,5,2,No,No,6,1
1188,37,Female,IT,Analyst,53116,14,3,1,Yes,No,4,1
1189,50,Female,HR,Coordinator,36674,1,2,1,No,No,7,3
1190,24,Female,HR,Specialist,178541,7,3,1,No,No,0,3
1191,41,Male,Sales,Executive,35446,13,2,5,No,No,4,2
1192,57,Male,Finance,Specialist,154809,4,4,2,No,No,3,3
1193,40,Male,Marketing,Executive,50760,2,1,4,No,No,2,1
1194,47,Female,Sales,Manager,31963,9,1,1,No,Yes,6,3
1195,24,Female,HR,Manager,138281,6,4,5,No,No,9,4
1196,40,Female,HR,Specialist,237074,10,3,5,No,No,0,4
1197,41,Male,Sales,Analyst,188334,14,2,4,No,No,5,3
1198,53,Female,Finance,Coordinator,35177,1,1,3,No,No,7,2
1199,28,Male,Marketing,Executive,41160,4,2,2,No,No,1,3
1200,54,Female,IT,Coordinator,132876,10,4,2,No,No,5,4
1201,39,Male,Sales,Manager,37543,7,3,1,No,No,0,1
1202,22,Male,Marketing,Analyst,137211,12,2,3,No,No,5,1
1203,32,Female,Marketing,Analyst,243234,10,3,2,Yes,No,5,1
1204,49,Male,Operations,Coordinator,69278,16,1,1,No,No,4,4
1205,46,Female,HR,Manager,190679,14,2,3,Yes,No,6,4
1206,44,Male,IT,Coordinator,246907,0,5,5,No,No,4,1
1207,52,Female,Sales,Specialist,178293,18,1,1,No,No,7,2
1208,51,Female,HR,Analyst,164395,15,3,3,Yes,Yes,1,2
1209,56,Male,Operations,Analyst,82105,18,4,4,Yes,No,5,1
1210,28,Female,Operations,Specialist,106151,12,5,2,No,Yes,4,1
1211,37,Male,HR,Manager,96968,22,2,1,No,Yes,9,4
1212,47,Female,Finance,Analyst,184310,21,1,5,No,No,1,3
1213,23,Female,Marketing,Executive,93830,22,2,1,No,No,6,4
1214,22,Female,Sales,Executive,103967,3,2,2,Yes,No,3,3
1215,33,Female,Sales,Manager,169402,10,5,2,Yes,No,5,3
1216,26,Male,Sales,Specialist,205225,17,5,3,No,No,4,3
1217,58,Female,HR,Coordinator,38611,17,5,5,Yes,No,3,3
1218,53,Female,Finance,Manager,43872,9,5,3,No,No,1,1
1219,30,Male,IT,Coordinator,79455,16,4,5,No,Yes,6,3
1220,56,Male,Operations,Manager,64930,12,3,1,No,No,4,3
1221,40,Male,HR,Executive,102022,24,5,1,Yes,No,2,3
1222,37,Male,IT,Specialist,92714,13,1,3,No,No,5,4
1223,24,Male,Operations,Executive,154906,6,2,4,No,No,7,4
1224,41,Male,Operations,Specialist,249866,9,5,2,No,No,9,4
1225,45,Female,Finance,Coordinator,209788,2,1,3,No,Yes,9,2
1226,54,Male,Marketing,Manager,138722,1,4,3,No,Yes,1,4
1227,45,Female,Sales,Analyst,96704,18,1,1,Yes,No,9,2
1228,32,Male,IT,Analyst,30415,6,1,2,No,No,3,4
1229,29,Female,HR,Specialist,106441,4,4,3,No,No,2,2
1230,57,Female,IT,Specialist,141736,2,4,1,No,No,6,4
1231,59,Female,Marketing,Executive,100779,24,2,1,Yes,No,9,1
1232,41,Male,Sales,Analyst,243141,1,5,3,Yes,No,7,4
1233,56,Male,IT,Executive,118444,22,1,3,No,Yes,7,2
1234,46,Male,Marketing,Coordinator,232507,21,3,1,Yes,Yes,3,3
1235,56,Male,HR,Analyst,134448,5,3,3,Yes,No,9,4
1236,46,Female,Finance,Coordinator,39888,13,2,2,No,No,1,3
1237,50,Male,Operations,Manager,206371,6,3,1,No,No,5,3
1238,39,Female,HR,Executive,154790,21,2,1,Yes,No,2,4
1239,39,Female,Sales,Specialist,88765,1,5,3,No,No,7,4
1240,23,Male,Operations,Analyst,223786,10,2,3,No,No,2,1
1241,56,Male,HR,Executive,45935,20,4,3,No,No,1,2
1242,37,Male,HR,Specialist,103002,2,4,2,No,Yes,8,4
1243,57,Female,HR,Manager,110631,8,4,1,Yes,No,8,2
1244,54,Male,HR,Analyst,237801,7,4,4,No,Yes,8,4
1245,25,Female,Operations,Coordinator,31320,10,4,2,Yes,No,2,3
1246,54,Male,Sales,Manager,76032,17,4,2,No,Yes,1,3
1247,35,Female,Marketing,Specialist,107763,0,4,1,No,No,3,4
1248,42,Male,IT,Analyst,178979,14,4,4,Yes,No,1,2
1249,41,Male,Finance,Analyst,68002,3,4,1,No,Yes,7,2
1250,29,Female,IT,Manager,205910,3,5,2,Yes,No,9,3
1251,28,Male,IT,Analyst,68912,9,4,3,Yes,Yes,0,2
1252,24,Male,Finance,Specialist,30552,10,2,1,No,No,1,2
1253,38,Male,Operations,Manager,50140,17,5,1,No,No,5,1
1254,54,Male,Sales,Coordinator,115591,22,3,3,Yes,No,8,3
1255,33,Male,Finance,Manager,209809,14,1,4,No,No,9,2
1256,43,Male,Sales,Manager,63367,2,5,4,Yes,No,4,1
1257,43,Male,Operations,Coordinator,241706,6,4,1,Yes,No,4,4
1258,51,Female,IT,Specialist,54061,6,5,3,Yes,No,2,1
1259,59,Female,Sales,Executive,126590,16,1,1,Yes,No,7,1
1260,59,Male,Operations,Executive,241408,21,1,3,Yes,No,5,1
1261,29,Male,Operations,Coordinator,72124,19,4,2,No,No,9,1
1262,48,Male,Marketing,Specialist,206710,23,4,3,No,No,1,1
1263,48,Female,Finance,Analyst,163054,15,2,1,No,Yes,4,1
1264,55,Female,Marketing,Coordinator,146322,15,1,5,No,No,3,4
1265,42,Male,IT,Executive,136134,7,4,4,No,No,9,4
1266,51,Female,Finance,Specialist,65765,2,1,1,Yes,Yes,8,3
1267,54,Male,IT,Manager,112606,19,2,3,Yes,No,3,3
1268,49,Male,Marketing,Specialist,126422,14,3,3,Yes,No,7,4
1269,54,Male,Operations,Specialist,139910,0,1,4,No,No,0,4
1270,26,Male,IT,Executive,84681,9,2,1,Yes,No,4,3
1271,40,Female,Finance,Executive,224304,1,2,5,No,No,8,1
1272,25,Female,Finance,Analyst,92349,6,2,2,No,No,2,2
1273,56,Male,IT,Analyst,130063,13,5,5,No,Yes,5,1
1274,38,Female,Finance,Coordinator,93474,15,4,2,No,No,9,4
1275,49,Female,Operations,Manager,190585,14,1,2,Yes,No,5,3
1276,51,Male,Operations,Analyst,52592,6,5,1,Yes,No,5,3
1277,50,Female,Finance,Executive,142196,12,1,2,No,No,3,1
1278,27,Male,IT,Specialist,53618,24,5,3,Yes,No,6,3
1279,56,Male,Marketing,Coordinator,81632,9,4,2,Yes,No,2,4
1280,58,Male,Finance,Analyst,176481,8,2,2,No,No,5,4
1281,45,Male,Finance,Specialist,39529,8,1,4,No,No,9,2
1282,50,Female,Finance,Specialist,152164,5,2,4,No,No,4,4
1283,52,Male,Finance,Analyst,54154,23,4,1,No,No,2,2
1284,56,Female,IT,Manager,62882,24,1,1,No,No,1,2
1285,54,Male,Marketing,Manager,74917,11,3,3,No,No,0,1
1286,42,Male,Marketing,Coordinator,112488,22,3,4,Yes,No,7,3
1287,53,Female,Sales,Manager,45701,19,3,5,No,No,0,4
1288,44,Male,Finance,Coordinator,236353,19,4,1,No,Yes,4,3
1289,54,Female,Finance,Executive,98225,21,3,1,No,No,4,2
1290,24,Female,Sales,Analyst,149278,13,1,4,No,No,0,4
1291,39,Male,Marketing,Specialist,213564,19,3,4,No,No,8,3
1292,46,Male,HR,Coordinator,32988,6,1,3,No,No,4,4
1293,52,Male,Operations,Manager,65919,7,4,4,Yes,No,8,1
1294,24,Male,HR,Coordinator,209498,7,2,2,No,Yes,5,4
1295,45,Male,Marketing,Coordinator,213239,7,5,5,No,No,6,2
1296,53,Male,Finance,Manager,39013,1,3,2,Yes,No,6,4
1297,43,Female,HR,Manager,200185,13,5,2,Yes,No,1,1
1298,44,Female,IT,Analyst,164646,9,2,2,No,No,4,1
1299,23,Male,IT,Specialist,37838,17,4,1,No,No,1,3
1300,48,Female,Sales,Analyst,61368,17,4,2,No,No,3,1
1301,23,Female,Marketing,Analyst,62228,17,2,1,No,No,2,2
1302,47,Male,Marketing,Manager,210783,15,5,4,No,Yes,5,1
1303,38,Male,HR,Manager,76097,19,3,5,No,No,4,3
1304,54,Female,Finance,Specialist,216845,4,1,5,Yes,No,0,1
1305,30,Male,Marketing,Coordinator,189711,19,4,2,Yes,No,1,1
1306,50,Female,HR,Analyst,175895,4,2,5,No,No,6,4
1307,47,Male,HR,Specialist,184582,19,5,1,No,No,8,3
1308,56,Female,Operations,Analyst,159802,22,3,4,No,No,0,4
1309,46,Female,Operations,Coordinator,68333,9,5,2,No,No,3,3
1310,45,Female,Marketing,Analyst,34435,16,3,3,No,No,2,3
1311,34,Female,HR,Executive,68418,12,1,5,Yes,No,4,3
1312,28,Male,Sales,Specialist,87955,16,1,5,Yes,No,4,3
1313,57,Male,Sales,Manager,89507,17,2,2,No,No,9,3
1314,41,Female,Operations,Analyst,81033,12,2,5,Yes,No,9,3
1315,22,Female,Marketing,Specialist,247161,16,3,5,No,No,1,1
1316,29,Male,Finance,Specialist,102972,14,3,3,No,No,4,1
1317,37,Male,Sales,Analyst,132012,11,3,1,No,No,3,1
1318,35,Female,Sales,Manager,77219,9,3,2,No,No,0,2
1319,33,Female,Operations,Manager,195549,12,1,2,No,Yes,0,3
1320,44,Female,Operations,Analyst,203793,10,2,3,No,No,0,1
1321,36,Female,Marketing,Specialist,228300,2,2,3,Yes,No,7,3
1322,49,Female,Operations,Manager,176595,21,4,1,No,No,2,4
1323,55,Male,IT,Analyst,62326,9,2,4,No,Yes,8,2
1324,23,Female,HR,Analyst,142626,10,2,2,No,No,9,3
1325,53,Male,Sales,Analyst,203277,5,5,5,No,Yes,1,1
1326,44,Male,IT,Specialist,161197,0,5,1,Yes,No,8,2
1327,43,Male,Finance,Manager,96735,5,4,2,No,No,8,4
1328,46,Female,IT,Specialist,134396,4,3,1,Yes,No,3,3
1329,43,Male,Marketing,Executive,46375,6,4,4,No,No,3,2
1330,43,Male,Finance,Manager,163783,21,4,2,No,No,3,3
1331,27,Male,Finance,Specialist,193509,11,1,5,No,No,0,2
1332,36,Male,Operations,Manager,189094,11,2,2,Yes,No,4,1
1333,58,Female,IT,Executive,39182,6,1,1,Yes,No,5,3
1334,54,Female,Marketing,Coordinator,123177,1,2,4,No,No,3,3
1335,29,Male,Sales,Analyst,125066,0,4,1,No,Yes,7,3
1336,26,Male,Operations,Specialist,154401,22,2,1,No,No,2,1
1337,25,Female,IT,Executive,118148,24,3,3,No,No,8,2
1338,27,Female,Sales,Executive,232603,17,3,1,No,No,6,1
1339,53,Female,IT,Manager,202022,11,4,4,No,No,7,4
1340,51,Male,Operations,Manager,133806,6,5,5,No,No,6,4
1341,56,Female,Sales,Analyst,173992,18,3,3,No,No,8,4
1342,37,Male,Operations,Manager,52144,21,4,1,No,Yes,1,2
1343,34,Male,IT,Specialist,150270,2,1,2,No,No,3,3
1344,51,Female,Finance,Specialist,245490,9,5,3,No,No,1,2
1345,40,Male,HR,Specialist,163637,10,3,4,No,No,7,4
1346,38,Female,Finance,Coordinator,118909,4,4,2,No,Yes,1,2
1347,40,Male,Operations,Specialist,215014,1,4,4,Yes,No,7,3
1348,49,Female,Operations,Manager,231632,7,1,2,Yes,No,5,3
1349,47,Male,Operations,Manager,185763,13,1,5,No,Yes,6,2
1350,58,Male,Sales,Specialist,160661,7,5,4,No,No,5,4
1351,47,Female,Marketing,Executive,63799,22,3,2,No,No,8,3
1352,44,Female,Operations,Executive,227849,5,4,4,No,No,3,4
1353,30,Female,Finance,Executive,64510,0,5,3,Yes,No,0,3
1354,33,Female,HR,Analyst,117919,23,5,4,Yes,No,8,4
1355,22,Male,Operations,Coordinator,143043,0,1,4,No,No,9,2
1356,22,Female,Operations,Specialist,238438,7,4,2,No,No,7,1
1357,55,Female,Operations,Analyst,190047,10,2,4,No,No,0,1
1358,53,Male,Sales,Executive,83242,17,1,5,Yes,No,9,4
1359,46,Female,Operations,Specialist,76546,23,4,1,No,No,5,3
1360,22,Female,Finance,Analyst,184339,9,5,3,No,No,9,2
1361,37,Male,IT,Manager,238983,11,5,2,Yes,No,3,3
1362,26,Female,Marketing,Executive,248121,19,3,4,No,No,1,1
1363,43,Female,Operations,Analyst,99939,22,2,4,No,No,2,1
1364,50,Female,Sales,Manager,151265,15,1,4,Yes,No,8,2
1365,24,Female,Finance,Executive,34897,4,3,3,No,No,4,4
1366,33,Female,Operations,Coordinator,161235,15,3,1,Yes,No,6,2
1367,47,Female,Sales,Executive,82540,23,2,5,Yes,No,1,1
1368,37,Male,IT,Coordinator,243987,11,1,5,Yes,No,7,2
1369,58,Female,HR,Coordinator,60030,5,1,2,No,No,2,1
1370,43,Male,Operations,Coordinator,85313,4,5,1,No,No,0,3
1371,50,Male,Finance,Specialist,158070,0,1,1,No,No,7,1
1372,35,Male,Sales,Specialist,59870,18,3,3,No,No,8,1
1373,49,Male,Sales,Coordinator,146565,9,5,4,No,No,7,2
1374,26,Female,Operations,Manager,154703,24,1,1,No,Yes,0,2
1375,51,Female,Sales,Coordinator,190554,13,2,4,No,No,6,2
1376,26,Female,HR,Analyst,192130,24,3,3,No,No,6,3
1377,33,Male,Sales,Coordinator,87255,20,4,2,Yes,No,3,2
1378,37,Female,Marketing,Specialist,122407,2,2,2,No,Yes,7,3
1379,47,Female,Marketing,Specialist,147952,5,2,4,No,Yes,4,4
1380,47,Female,Sales,Analyst,226002,4,1,4,No,No,3,2
1381,42,Male,Operations,Analyst,211572,16,5,1,Yes,Yes,4,2
1382,57,Male,Marketing,Executive,187451,17,5,3,No,Yes,1,4
1383,54,Female,Finance,Manager,228859,11,3,2,No,No,3,4
1384,51,Male,Marketing,Manager,139396,4,1,1,No,No,9,4
1385,58,Male,Sales,Manager,53674,8,5,5,Yes,No,7,1
1386,44,Female,Operations,Specialist,167662,11,4,1,Yes,No,6,1
1387,31,Male,IT,Manager,192504,19,1,4,No,No,7,1
1388,26,Male,Operations,Executive,70426,8,1,5,No,No,6,4
1389,57,Female,Operations,Executive,79584,2,5,1,No,No,6,3
1390,55,Male,Operations,Manager,248735,0,2,3,No,Yes,6,2
1391,52,Male,Finance,Analyst,199087,21,1,2,Yes,No,1,1
1392,31,Male,HR,Executive,103251,14,2,5,No,No,2,4
1393,40,Male,Sales,Analyst,99353,9,3,3,No,No,0,2
1394,53,Male,HR,Specialist,125029,13,3,1,No,No,1,1
1395,22,Male,IT,Executive,112990,6,5,4,No,No,9,4
1396,26,Male,HR,Analyst,34600,3,3,4,No,No,5,2
1397,25,Male,Sales,Manager,185762,4,5,3,No,No,1,1
1398,37,Female,Sales,Specialist,138286,19,5,4,No,No,0,1
1399,45,Female,IT,Coordinator,63762,15,2,2,No,No,7,1
